task_name,feature_set,file_id,source_group_id,y_true,y_pred_experimental,y_proba_experimental,error_type,fold,split_method,model_type,review_note
origin_file_model,acoustic,phase7c1_collection_manifest_000000_ai_001_direct,phase7c1_collection_manifest_000000_001_direct,1,1,0.9809527760955526,true_positive,1,StratifiedGroupKFold,logistic_regression_l2,correct high-confidence positive
origin_file_model,acoustic,phase7c1_collection_manifest_000024_ai_004_direct,phase7c1_collection_manifest_000024_004_direct,1,1,0.9745423898163408,true_positive,1,StratifiedGroupKFold,logistic_regression_l2,correct high-confidence positive
origin_file_model,acoustic,phase7c1_collection_manifest_000040_ai_006_direct,phase7c1_collection_manifest_000040_006_direct,1,1,0.994671311892484,true_positive,1,StratifiedGroupKFold,logistic_regression_l2,correct high-confidence positive
origin_file_model,acoustic,phase7c1_collection_manifest_000060_human_008_clean,phase7c1_collection_manifest_000060_008,0,0,0.0507272420416097,true_negative,1,StratifiedGroupKFold,logistic_regression_l2,correct low-confidence output
origin_file_model,acoustic,phase7c1_collection_manifest_000080_ai_011_direct,phase7c1_collection_manifest_000080_011_direct,1,1,0.9602312095863712,true_positive,1,StratifiedGroupKFold,logistic_regression_l2,correct high-confidence positive
origin_file_model,acoustic,phase7c1_collection_manifest_000108_human_014_clean,phase7c1_collection_manifest_000108_014,0,0,0.0096696469509013,true_negative,1,StratifiedGroupKFold,logistic_regression_l2,correct low-confidence output
origin_file_model,acoustic,phase7c1_collection_manifest_000128_ai_017_direct,phase7c1_collection_manifest_000128_017_direct,1,1,0.8829229418101895,true_positive,1,StratifiedGroupKFold,logistic_regression_l2,correct high-confidence positive
origin_file_model,acoustic,phase7c1_collection_manifest_000144_ai_019_direct,phase7c1_collection_manifest_000144_019_direct,1,1,0.995777248108496,true_positive,1,StratifiedGroupKFold,logistic_regression_l2,correct high-confidence positive
origin_file_model,acoustic,phase7c1_collection_manifest_000164_human_021_clean,phase7c1_collection_manifest_000164_021,0,0,0.0015952611173594,true_negative,1,StratifiedGroupKFold,logistic_regression_l2,correct low-confidence output
origin_file_model,acoustic,phase7c1_collection_manifest_000180_human_023_clean,phase7c1_collection_manifest_000180_023,0,1,0.8338677483985825,false_positive,1,StratifiedGroupKFold,logistic_regression_l2,clean human predicted as AI evidence
origin_file_model,acoustic,phase7c1_collection_manifest_000004_human_001_clean,phase7c1_collection_manifest_000004_001,0,0,0.0005790293509488,true_negative,2,StratifiedGroupKFold,logistic_regression_l2,correct low-confidence output
origin_file_model,acoustic,phase7c1_collection_manifest_000028_human_004_clean,phase7c1_collection_manifest_000028_004,0,0,0.0016335448720223,true_negative,2,StratifiedGroupKFold,logistic_regression_l2,correct low-confidence output
origin_file_model,acoustic,phase7c1_collection_manifest_000044_human_006_clean,phase7c1_collection_manifest_000044_006,0,0,0.0079428012653996,true_negative,2,StratifiedGroupKFold,logistic_regression_l2,correct low-confidence output
origin_file_model,acoustic,phase7c1_collection_manifest_000068_human_009_clean,phase7c1_collection_manifest_000068_009,0,0,0.0008677143319322,true_negative,2,StratifiedGroupKFold,logistic_regression_l2,correct low-confidence output
origin_file_model,acoustic,phase7c1_collection_manifest_000084_human_011_clean,phase7c1_collection_manifest_000084_011,0,0,0.0142311260962666,true_negative,2,StratifiedGroupKFold,logistic_regression_l2,correct low-confidence output
